Text,X,Y,Z,Floor
산업경영공학부,681.3907181051529,241.11834254456824,0.0,5F
교수연구실,535.9741575714136,243.91957943484456,0.0,5F
전기전자공학부,531.1527694001857,238.63056035623137,0.0,5F
신소재공학부 세미나실,645.6211264941106,465.0795813491925,0.0,5F
신소재공학부,656.1944183340836,459.7905424942573,0.0,5F
공과대학행정팀,635.9795367309677,660.9329612808139,0.0,5F
공과대학장,640.1768632886691,651.9113987615317,0.0,5F
교수연구실,648.7309135584974,236.29699392598405,0.0,5F
산업경영공학부,643.9096044925569,231.00801440001445,0.0,5F
PS실,652.3083710829133,310.79649477161956,0.0,5F
교수연구실,836.4500549813478,246.40736162318157,0.0,5F
산업경영공학부,831.4744114993861,241.11834254456824,0.0,5F
교수연구실,385.89038507189235,243.91957943484456,0.0,5F
전기전자공학부,381.06903645330794,238.63056035623137,0.0,5F
교수연구실,947.9678639547357,238.31714520693575,0.0,5F
산업경영공학부,943.1464757835072,233.03295155086343,0.0,5F
교수연구실,798.8146069527314,238.31714520693575,0.0,5F
산업경영공학부,793.9932978867904,233.03295155086343,0.0,5F
교수연구실,911.4171867343691,246.40736162318157,0.0,5F
산업경영공학부,906.5957985631408,241.11834254456824,0.0,5F
교수연구실,310.92325331887184,243.91957943484456,0.0,5F
전기전자공학부,305.94760983691015,238.63056035623137,0.0,5F
PS실,651.2187748521221,846.4288485969138,0.0,5F
교수연구실,272.1982090594634,241.27263740794552,0.0,5F
전기전자공학부,267.2225655775018,235.9836183293323,0.0,5F
산업경영공학부행정실,730.2261300617589,243.91957943484456,0.0,5F
산업경영공학부,737.3810451105905,238.63056035623137,0.0,5F
ELEV실,691.8096755291051,327.2806424675197,0.0,5F
Informatics,987.3148339849057,339.4111812219912,0.0,5F
산업경영공학부,982.4935249189658,334.12214236705603,0.0,5F
차세대 전력망 연구실,598.3382349110714,340.5007774527824,0.0,5F
전기전자공학부,605.0254003945864,335.2117385978472,0.0,5F
교수연구실,235.80669167765853,243.91957943484456,0.0,5F
산업경영공학부,230.9853430590742,238.63056035623137,0.0,5F
지능시스템연구실,412.9525808131801,351.6959357345523,0.0,5F
전기전자공학부,415.4404025541608,346.56603694185725,0.0,5F
PS실,847.9634340586325,310.63737448570123,0.0,5F
최적화연구실,870.9805413681189,363.6721598493246,0.0,5F
산업경영공학부,868.6470935958032,358.387985969574,0.0,5F
교수연구실,498.17954970423466,244.54150520560702,0.0,5F
전기전자공학부,493.3582010856502,239.25248612699355,0.0,5F
교수연구실,347.7872665832464,241.7403078679744,0.0,5F
전기전자공학부,342.80679767874375,236.6055836527385,0.0,5F
PS실,774.8621587231864,377.0465699216426,0.0,5F
통신 및 정보시스템연구실,259.1371745837969,368.65262875382706,0.0,5F
전기전자공학부,270.6457282385403,363.36362945153576,0.0,5F
교수연구실,610.3144590258437,246.40736162318157,0.0,5F
산업경영공학부,605.338815543882,241.11834254456824,0.0,5F
연구및자료실,194.58896070208473,263.9811945433215,0.0,5F
전기전자공학부,192.26025924702205,258.6921754647083,0.0,5F
공과대학행정팀,773.4657130819671,661.709300572885,0.0,5F
공과대학장,777.6630396396682,652.6878171588904,0.0,5F
전력계통연구실,530.2174284801275,345.9440913947729,0.0,5F
전기전자공학부,530.2174284801275,340.809367179537,0.0,5F
세미나실1,764.1298652552267,542.3754145572756,0.0,5F
산업경영공학부,758.2237853810359,537.0863757023407,0.0,5F
PS실,649.0443287077926,569.5919051619406,0.0,5F
PS실,649.0443287077926,504.58082646641856,0.0,5F
세미나실3(회의실),758.8457111517981,470.9857403286709,0.0,5F
산업경영공학부,761.6420830668898,465.70152689627685,0.0,5F
지능시스템설계연구실,936.7679000267464,365.3837609561657,0.0,5F
산업경영공학부,944.0769912810247,360.25384238714867,0.0,5F
교수연구실,461.0118116882902,243.91957943484456,0.0,5F
전기전자공학부,456.03130323114385,238.63056035623137,0.0,5F
교수연구실,873.9360731217723,238.31714520693575,0.0,5F
